"Feature","RMSE_Increase","RMSE_Increase_SD","Rank"
"course_track",0.056315773117284,0.033623488958175,1
"student_prior_year_count",0.0216767655154468,0.00891564363393802,2
"grade_level",0.014675684044968,0.00596207756612715,3
"section_pct_high_absence",0.00568936678016385,0.00198914071455608,4
"student_prior_attendance_mean",7.56935069401443e-07,5.40457751301131e-06,5
"boy_readiness",0,0,6
"boy_score",0,0,7
"school_year_offset",0,0,8
"section_attendance_mean",0,0,9
"section_boy_mean",0,0,10
"section_prior_gain_mean",0,0,11
"section_readiness_mean",0,0,12
"section_student_prior_gain_sd",0,0,13
"section_student_prior_mean_gain",0,0,14
"student_prior_gain_sd",0,0,15
"student_prior_gain_trend",0,0,16
"student_prior_mean_eoy",0,0,17
"student_prior_mean_gain",0,0,18
"attendance_probability",-0.0007718461838635,0.00131178754072531,19
"section_size",-0.00397530378746569,0.00545886061755989,20
"section_boy_sd",-0.00627719785482372,0.00809454292089054,21
"section_pct_at_risk",-0.00954058796553359,0.00536395153530118,22
"attendance_category",-0.0426902989543617,0.0242478020598953,23
