"Measure","Value"
"Naive temporal RMSE","5.002"
"Selected temporal RMSE","4.576"
"Temporal RMSE improvement","0.426"
"Temporal RMSE improvement percent","8.5%"
"Naive temporal MAE","4.058"
"Selected temporal MAE","3.649"
"Temporal MAE improvement","0.409"
"Temporal MAE improvement percent","10.1%"
"Naive latest-year RMSE","4.960"
"Selected latest-year RMSE","4.646"
"Latest-year RMSE improvement","0.314"
"Latest-year RMSE improvement percent","6.3%"
"Naive latest-year MAE","4.026"
"Selected latest-year MAE","3.714"
"Latest-year MAE improvement","0.312"
"Latest-year MAE improvement percent","7.8%"
"Selected latest-year gain R-squared","0.115"
"Selected latest-year EOY R-squared","0.933"
"Latest-year section-mean gain R-squared","0.263"
"Latest-year teacher-mean gain R-squared","0.663"
"Latest-year course-mean gain R-squared","0.524"
