"Level","Target","N","Raw_gap","Shrunken_gap","CI_95","P_value","Q_value","Decision"
"Course","MATH-AP-CALC-BC",19,"-1.61","-0.29","-1.32 to 0.74","0.579","0.942","Insufficient sample"
"Section","Y06-SEC-024",3,"-3.39","-0.18","-1.42 to 1.06","0.781","0.974","Insufficient sample"
"Course","MATH-BEYOND-CORE",3,"-3.39","-0.14","-1.27 to 0.98","0.803","0.942","Insufficient sample"
"Course","MATH-ALG1",13,"0.68","0.15","-0.92 to 1.22","0.783","0.942","Insufficient sample"
"Section","Y06-SEC-019",12,"-2.71","-0.43","-1.59 to 0.73","0.467","0.974","In range"
"Section","Y06-SEC-021",12,"-2.48","-0.38","-1.54 to 0.78","0.521","0.974","In range"
"Course","MATH-PRECALC",40,"-1.38","-0.37","-1.29 to 0.56","0.438","0.942","In range"
"Section","Y06-SEC-004",9,"-2.55","-0.35","-1.53 to 0.84","0.565","0.974","In range"
"Course","MATH-AP-CALC-AB",49,"-0.87","-0.24","-1.14 to 0.66","0.604","0.942","In range"
"Section","Y06-SEC-005",11,"-1.49","-0.23","-1.40 to 0.94","0.701","0.974","In range"
"Section","Y06-SEC-016",10,"-2.04","-0.23","-1.40 to 0.95","0.706","0.974","In range"
"Section","Y06-SEC-023",9,"-1.78","-0.20","-1.38 to 0.98","0.741","0.974","In range"
"Section","Y06-SEC-022",10,"-1.46","-0.16","-1.33 to 1.02","0.794","0.974","In range"
"Section","Y06-SEC-007",12,"-1.12","-0.15","-1.31 to 1.01","0.797","0.974","In range"
"Section","Y06-SEC-017",9,"-1.57","-0.13","-1.31 to 1.05","0.827","0.974","In range"
"Section","Y06-SEC-014",10,"-1.36","-0.11","-1.29 to 1.06","0.853","0.974","In range"
"Section","Y06-SEC-008",10,"-0.79","-0.07","-1.25 to 1.10","0.903","0.974","In range"
"Teacher","TCH-001",33,"-0.05","0.00","0.00 to 0.00","","","In range"
"Teacher","TCH-002",52,"-0.09","0.00","0.00 to 0.00","","","In range"
"Teacher","TCH-003",56,"-0.34","0.00","0.00 to 0.00","","","In range"
"Teacher","TCH-004",43,"0.47","0.00","0.00 to 0.00","","","In range"
"Teacher","TCH-005",68,"-1.08","0.00","0.00 to 0.00","","","In range"
"Section","Y06-SEC-015",11,"-0.63","0.02","-1.15 to 1.19","0.974","0.974","In range"
"Section","Y06-SEC-009",14,"0.07","0.03","-1.12 to 1.18","0.959","0.974","In range"
"Course","MATH-ALG2",33,"-0.26","0.04","-0.92 to 0.99","0.942","0.942","In range"
"Course","MATH-GEOM",39,"-0.16","0.06","-0.87 to 0.99","0.899","0.942","In range"
"Section","Y06-SEC-020",12,"-0.12","0.08","-1.08 to 1.23","0.898","0.974","In range"
"Section","Y06-SEC-012",11,"1.06","0.14","-1.03 to 1.30","0.820","0.974","In range"
"Section","Y06-SEC-003",9,"0.68","0.15","-1.03 to 1.33","0.806","0.974","In range"
"Section","Y06-SEC-001",13,"0.68","0.18","-0.97 to 1.34","0.755","0.974","In range"
"Section","Y06-SEC-011",10,"1.58","0.21","-0.97 to 1.38","0.729","0.974","In range"
"Course","MATH-ALG2-H",26,"0.59","0.23","-0.77 to 1.23","0.652","0.942","In range"
"Section","Y06-SEC-010",12,"1.21","0.25","-0.91 to 1.41","0.671","0.974","In range"
"Section","Y06-SEC-006",11,"1.16","0.27","-0.90 to 1.44","0.652","0.974","In range"
"Section","Y06-SEC-013",9,"2.57","0.35","-0.84 to 1.53","0.565","0.974","In range"
"Section","Y06-SEC-018",13,"1.61","0.44","-0.71 to 1.59","0.453","0.974","In range"
"Section","Y06-SEC-002",10,"2.69","0.50","-0.67 to 1.68","0.403","0.974","In range"
"Course","MATH-AP-PRECALC",30,"1.69","0.56","-0.41 to 1.53","0.256","0.942","In range"
